mode,n,hits,misses,total,writes
MRU,20,75,117,192,27
default,20,91,101,192,27
MRU,40,117,365,482,47
default,40,151,331,482,47
MRU,60,159,746,905,67
default,60,211,694,905,67
MRU,80,200,1262,1462,87
default,80,271,1191,1462,87
MRU,100,240,1912,2152,107
default,100,331,1821,2152,107
MRU,140,330,3667,3997,148
default,140,480,3517,3997,148
MRU,180,410,5900,6310,188
default,180,600,5710,6310,188
MRU,220,519,8736,9255,228
default,220,749,8506,9255,228
MRU,260,639,11996,12635,268
default,260,869,11766,12635,268
MRU,300,761,15787,16548,308
default,300,989,15559,16548,308
MRU,350,919,21403,22322,358
default,350,1168,21154,22322,358
MRU,400,1070,27727,28797,408
default,400,1318,27479,28797,408
MRU,450,1231,35040,36271,458
default,450,1497,34774,36271,458
MRU,500,1382,43031,44413,508
default,500,1647,42766,44413,508
MRU,550,1541,52046,53587,558
default,550,1826,51761,53587,558
MRU,600,1691,61704,63395,608
default,600,1976,61419,63395,608
MRU,650,1849,72421,74270,658
default,650,2155,72115,74270,658
MRU,750,2158,96162,98320,758
default,750,2484,95836,98320,758
MRU,800,2308,109154,111462,808
default,800,2634,108828,111462,808
MRU,850,2469,123268,125737,858
default,850,2813,122924,125737,858
MRU,900,2619,137926,140545,908
default,900,2963,137582,140545,908
MRU,950,2778,153743,156521,958
default,950,3142,153379,156521,958
MRU,1000,2928,170068,172996,1008
default,1000,3292,169704,172996,1008
