mode,n,hits,misses,total
MRU,20,6,60,66
default,20,12,54,66
MRU,40,15,183,198
default,40,22,176,198
MRU,60,26,358,384
default,60,32,352,384
MRU,80,68,641,709
default,80,59,650,709
MRU,100,77,976,1053
default,100,69,984,1053
MRU,140,75,1761,1836
default,140,72,1764,1836
MRU,180,129,2906,3035
default,180,106,2929,3035
MRU,220,128,4240,4368
default,220,112,4256,4368
MRU,260,184,5940,6124
default,260,146,5978,6124
MRU,300,196,7839,8035
default,300,166,7869,8035
MRU,350,257,10660,10917
default,350,192,10725,10917
MRU,400,272,13831,14103
default,400,216,13887,14103
MRU,450,322,17415,17737
default,450,242,17495,17737
MRU,500,382,21560,21942
default,500,280,21662,21942
MRU,550,379,25968,26347
default,550,292,26055,26347
MRU,600,410,30856,31266
default,600,330,30936,31266
MRU,650,422,36318,36740
default,650,356,36384,36740
MRU,750,444,48124,48568
default,750,406,48162,48568
MRU,800,447,54610,55057
default,800,430,54637,55067
MRU,850,446,61816,62262
default,850,456,61806,62262
MRU,900,493,69194,69687
default,900,494,69203,69697
MRU,950,471,76944,77415
default,950,506,76909,77415
MRU,1000,530,85403,85933
default,1000,544,85389,85933
