mode,n,hits,misses,total,writes
MRU,20,332,352,684,0
default,20,26,658,684,0
MRU,40,538,1589,2127,0
default,40,26,2101,2127,0
MRU,60,737,4233,4970,0
default,60,26,4944,4970,0
MRU,80,74,8216,8290,1
default,80,55,8235,8290,1
MRU,100,1096,12161,13257,0
default,100,26,13231,13257,0
MRU,140,1495,24049,25544,0
default,140,26,25518,25544,0
MRU,180,2023,39912,41935,0
default,180,55,41880,41935,0
MRU,220,2434,59683,62117,0
default,220,26,62091,62117,0
MRU,260,2860,83544,86404,0
default,260,26,86378,86404,0
MRU,300,3293,111397,114690,0
default,300,26,114664,114690,0
MRU,350,3821,150978,154799,0
default,350,26,154773,154799,0
MRU,400,4087,196820,200907,0
default,400,26,200881,200907,0
MRU,450,4586,252929,257515,0
default,450,26,257489,257515,0
MRU,500,5087,311037,316124,0
default,500,26,316098,316124,0
MRU,550,5587,375145,380732,0
default,550,26,380706,380732,0
MRU,600,6087,445253,451340,0
default,600,26,451314,451340,0
MRU,650,6593,527856,534449,0
default,650,26,534423,534449,0
MRU,750,7586,699079,706665,0
default,750,26,706639,706665,0
MRU,800,8085,793689,801774,0
default,800,26,801748,801774,0
MRU,850,8586,902796,911382,0
default,850,26,911356,911382,0
MRU,900,9086,1009904,1018990,0
default,900,26,1018964,1018990,0
MRU,950,9586,1123013,1132599,0
default,950,26,1132573,1132599,0
MRU,1000,10085,1242122,1252207,0
default,1000,26,1252181,1252207,0
