mode,n,hits,misses,total,writes
MRU,20,1232,7231,8463,127
default,20,1998,2743,4741,134
MRU,40,889,9470,10359,125
default,40,3330,7073,10403,131
MRU,60,2400,13678,16078,121
default,60,5007,9414,14421,124
MRU,80,2644,16983,19627,121
default,80,7562,15035,22597,104
MRU,100,2633,22885,25518,126
default,100,7367,16413,23780,123
MRU,140,5102,26367,31469,121
default,140,12192,23983,36175,126
MRU,180,5313,35808,41121,131
default,180,13573,31147,44720,128
MRU,220,5097,50499,55596,119
default,220,13221,40165,53386,117
MRU,260,4987,59259,64246,118
default,260,15642,44259,59901,114
MRU,300,5892,61458,67350,131
default,300,18089,47245,65334,118
MRU,350,4808,75414,80222,119
default,350,20674,53590,74264,128
MRU,400,3138,78029,81167,130
default,400,33484,77833,111317,110
MRU,450,11046,102064,113110,112
default,450,22067,64065,86132,128
MRU,500,15126,81201,96327,140
default,500,28843,80544,109387,111
MRU,550,9389,118304,127693,105
default,550,29585,82397,111982,126
MRU,600,7595,123716,131311,108
default,600,29185,90618,119803,132
MRU,650,16980,159938,176918,108
default,650,37433,100669,138102,126
MRU,750,11509,171643,183152,113
default,750,38491,120557,159048,126
MRU,800,16467,176315,192782,105
default,800,55107,148386,203493,113
MRU,850,11848,157556,169404,127
default,850,35536,134754,170290,112
MRU,900,12483,195704,208187,116
default,900,48697,125874,174571,119
MRU,950,17968,221940,239908,109
default,950,52839,153742,206581,123
MRU,1000,13791,201685,215476,117
default,1000,58671,164656,223327,127
