mode,n,hits,misses,total
MRU,20,5,11,16
default,20,8,8,16
MRU,40,5,18,23
default,40,8,15,23
MRU,60,4,25,29
default,60,8,21,29
MRU,80,4,32,36
default,80,8,28,36
MRU,100,13,95,108
default,100,37,71,108
MRU,140,2,54,56
default,140,8,48,56
MRU,180,3,66,69
default,180,8,61,69
MRU,220,3,80,83
default,220,8,75,83
MRU,260,3,93,96
default,260,8,88,96
MRU,300,3,106,109
default,300,8,101,109
MRU,350,3,123,126
default,350,8,118,126
MRU,400,3,140,143
default,400,8,135,143
MRU,450,3,156,159
default,450,8,151,159
MRU,500,3,173,176
default,500,8,168,176
MRU,550,3,190,193
default,550,8,185,193
MRU,600,3,206,209
default,600,8,201,209
MRU,650,3,223,226
default,650,8,218,226
MRU,750,3,256,259
default,750,8,251,259
MRU,800,3,273,276
default,800,8,268,276
MRU,850,3,290,293
default,850,8,285,293
MRU,900,3,306,309
default,900,8,301,309
MRU,950,3,323,326
default,950,8,318,326
MRU,1000,3,340,343
default,1000,8,335,343
