mode,n,hits,misses,total
MRU,20,2,163,165
default,20,30,135,165
MRU,40,4,536,540
default,40,60,480,540
MRU,60,32,1099,1131
default,60,107,1024,1131
MRU,80,34,1884,1918
default,80,137,1781,1918
MRU,100,40,2875,2915
default,100,167,2748,2915
MRU,140,46,5387,5433
default,140,224,5209,5433
MRU,180,68,8754,8822
default,180,298,8524,8822
MRU,220,51,12924,12975
default,220,344,12631,12975
MRU,260,88,17893,17981
default,260,418,17563,17981
MRU,300,114,23679,23793
default,300,492,23301,23793
MRU,350,112,32155,32267
default,350,568,31699,32267
MRU,400,126,41769,41895
default,400,642,41253,41895
MRU,450,126,52469,52595
default,450,718,51877,52595
MRU,500,156,64761,64917
default,500,806,64111,64917
MRU,550,163,78341,78504
default,550,882,77622,78504
MRU,600,189,92766,92955
default,600,970,91985,92955
MRU,650,206,108882,109088
default,650,1046,108042,109088
MRU,750,233,144455,144688
default,750,1210,143478,144688
MRU,800,239,164149,164388
default,800,1284,163104,164388
MRU,850,237,185397,185634
default,850,1360,184274,185634
MRU,900,260,207257,207517
default,900,1448,206069,207517
MRU,950,272,231037,231309
default,950,1524,229785,231309
MRU,1000,315,256105,256420
default,1000,1612,254808,256420
